Comment,Designator,Footprint,LCSC Part #
0.1uF,C8 C17 C18 C38 C39 C40 C41 C42,C0805,
0.5R,R30,R1210,
0.47uF,C11,C0805,
1.5K,R56 R57,R0805,
3.3K,R6,R0805,
10K,R3 R5 R38 R39 R41 R49 R50 R52,R0805,
10uF,C9,C0805,
18pF,C15 C16,C0805,
20k,R7,R0805,
22uF,C6 C10,C1206,
100K,R31 R32 R33 R34 R36 R37 R40 R42 R43 R44 R45 R47 R48 R51,R0805,
100k,R1 R2 R4 R8 R9 R10 R11,R0805,
100pF,C3 C4 C5 C7,C0805,
200K,R35 R46,R0805,
390,R53 R54 R60,R0805,
470uF,C1 C2,150CLZ-1010,
4066D,U3,SO14,
ABMM2-8.000MHZ-E2-T,CRYSTAL,ABMM2,
ATMEGA16A,U1,TQFP44,
BSP170PH6327,Q3 Q6,SOT230P700X180-4N,
IRLL2705P,Q1 Q2 Q4 Q5,SOT223,
K7805MT-500R4,U$1,DFN,
LM358D,U10,SO08,
LM2940IMP-9.0/NOPB,9V_REG,SOT230P700X180-4N,
LTC1661,U8B,MSOP8,
MMBT3904 ,Q7 Q8,SOT23-BEC,
S1M,D1,SMA,
